Log_ID,User_ID,User_Name,Role,Access_Time,Exit_Time,Session_Duration,Motion_Detected,Gas_Detected,Alert_Triggered,Risk_Score
22,STAFF001,Ahmad Staff,Staff,2026-07-04 19:40:00,2026-07-04 21:42:00,122 mins,0,0,UNUSUAL_HOUR,MEDIUM
23,CLEANER001,Ali Cleaner,Cleaner,2026-07-04 22:00:00,2026-07-04 23:36:00,96 mins,0,0,UNUSUAL_HOUR,MEDIUM
24,STAFF001,Ahmad Staff,Staff,2026-07-04 23:09:00,2026-07-05 02:16:00,187 mins,0,0,UNUSUAL_HOUR,MEDIUM
25,MANAGER001,Siti Manager,Manager,2026-07-05 04:34:00,2026-07-05 06:18:00,104 mins,0,0,NONE,LOW
26,STAFF001,Ahmad Staff,Staff,2026-07-05 05:39:00,2026-07-05 07:41:00,122 mins,0,0,UNUSUAL_HOUR,MEDIUM
27,STAFF001,Ahmad Staff,Staff,2026-07-05 08:53:00,2026-07-05 10:44:00,111 mins,0,0,UNUSUAL_HOUR,MEDIUM
28,MANAGER001,Siti Manager,Manager,2026-07-05 11:16:00,2026-07-05 12:26:00,70 mins,0,0,NONE,LOW
29,MANAGER001,Siti Manager,Manager,2026-07-05 15:44:00,2026-07-05 17:11:00,87 mins,0,0,NONE,LOW
30,CLEANER001,Ali Cleaner,Cleaner,2026-07-05 20:16:00,2026-07-05 20:47:00,31 mins,0,0,NONE,LOW
31,CLEANER001,Ali Cleaner,Cleaner,2026-07-05 21:47:00,2026-07-05 23:51:00,124 mins,0,0,NONE,LOW
32,CLEANER001,Ali Cleaner,Cleaner,2026-07-06 03:08:00,2026-07-06 03:55:00,47 mins,0,0,UNUSUAL_HOUR,MEDIUM
33,STAFF001,Ahmad Staff,Staff,2026-07-06 06:25:00,2026-07-06 07:31:00,66 mins,0,0,UNUSUAL_HOUR,MEDIUM
34,SYSTEM,Environmental_Sensor,Hardware,2026-07-06 09:56:00,NULL,NULL,0,1,GAS_LEAK_DETECTION,HIGH
35,CLEANER001,Ali Cleaner,Cleaner,2026-07-06 13:01:00,2026-07-06 14:26:00,85 mins,0,0,UNUSUAL_HOUR,MEDIUM
36,CLEANER001,Ali Cleaner,Cleaner,2026-07-06 14:55:00,2026-07-06 16:17:00,82 mins,0,0,UNUSUAL_HOUR,MEDIUM
37,STAFF001,Ahmad Staff,Staff,2026-07-06 20:15:00,2026-07-06 20:27:00,12 mins,0,0,UNUSUAL_HOUR,MEDIUM
38,CLEANER001,Ali Cleaner,Cleaner,2026-07-06 22:28:00,2026-07-06 23:00:00,32 mins,0,0,UNUSUAL_HOUR,MEDIUM
39,STAFF001,Ahmad Staff,Staff,2026-07-07 02:13:00,2026-07-07 03:05:00,52 mins,0,0,UNUSUAL_HOUR,MEDIUM
40,SYSTEM,Environmental_Sensor,Hardware,2026-07-07 05:21:00,NULL,NULL,0,1,GAS_LEAK_DETECTION,HIGH
41,UNKNOWN,Unknown Person,None,2026-07-07 08:52:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
42,MANAGER001,Siti Manager,Manager,2026-07-07 10:57:00,2026-07-07 14:09:00,192 mins,0,0,NONE,LOW
43,MANAGER001,Siti Manager,Manager,2026-07-07 12:54:00,2026-07-07 16:45:00,231 mins,0,0,NONE,LOW
44,MANAGER001,Siti Manager,Manager,2026-07-07 17:04:00,2026-07-07 17:58:00,54 mins,0,0,NONE,LOW
45,CLEANER001,Ali Cleaner,Cleaner,2026-07-07 22:06:00,2026-07-08 00:38:00,152 mins,0,0,UNUSUAL_HOUR,MEDIUM
46,MANAGER001,Siti Manager,Manager,2026-07-07 23:36:00,2026-07-08 01:45:00,129 mins,0,0,UNUSUAL_HOUR,MEDIUM
47,STAFF001,Ahmad Staff,Staff,2026-07-08 02:59:00,2026-07-08 04:27:00,88 mins,0,0,UNUSUAL_HOUR,MEDIUM
48,STAFF001,Ahmad Staff,Staff,2026-07-08 07:24:00,2026-07-08 08:26:00,62 mins,0,0,UNUSUAL_HOUR,MEDIUM
49,UNKNOWN,Unknown Person,None,2026-07-08 11:32:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
50,MANAGER001,Siti Manager,Manager,2026-07-08 12:49:00,2026-07-08 15:05:00,136 mins,0,0,NONE,LOW
51,CLEANER001,Ali Cleaner,Cleaner,2026-07-08 13:52:00,2026-07-08 17:34:00,222 mins,0,0,UNUSUAL_HOUR,MEDIUM
52,UNKNOWN,Unknown Person,None,2026-07-08 15:11:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
53,STAFF001,Ahmad Staff,Staff,2026-07-08 17:35:00,2026-07-08 19:06:00,91 mins,0,0,NONE,LOW
54,MANAGER001,Siti Manager,Manager,2026-07-08 19:03:00,2026-07-08 20:43:00,100 mins,0,0,NONE,LOW
55,MANAGER001,Siti Manager,Manager,2026-07-08 21:00:00,2026-07-08 23:21:00,141 mins,0,0,NONE,LOW
56,STAFF001,Ahmad Staff,Staff,2026-07-08 23:16:00,2026-07-09 01:05:00,109 mins,0,0,UNUSUAL_HOUR,MEDIUM
57,CLEANER001,Ali Cleaner,Cleaner,2026-07-09 02:44:00,2026-07-09 05:16:00,152 mins,0,0,UNUSUAL_HOUR,MEDIUM
58,MANAGER001,Siti Manager,Manager,2026-07-09 06:08:00,2026-07-09 06:50:00,42 mins,0,0,NONE,LOW
59,CLEANER001,Ali Cleaner,Cleaner,2026-07-09 09:39:00,2026-07-09 13:38:00,239 mins,0,0,UNUSUAL_HOUR,MEDIUM
60,STAFF001,Ahmad Staff,Staff,2026-07-09 13:18:00,2026-07-09 15:32:00,134 mins,0,0,NONE,LOW
61,MANAGER001,Siti Manager,Manager,2026-07-09 15:42:00,2026-07-09 18:45:00,183 mins,0,0,NONE,LOW
62,CLEANER001,Ali Cleaner,Cleaner,2026-07-09 21:25:00,2026-07-09 23:22:00,117 mins,0,0,NONE,LOW
63,CLEANER001,Ali Cleaner,Cleaner,2026-07-10 01:40:00,2026-07-10 04:22:00,162 mins,0,0,UNUSUAL_HOUR,MEDIUM
64,MANAGER001,Siti Manager,Manager,2026-07-10 04:21:00,2026-07-10 06:42:00,141 mins,0,0,NONE,LOW
65,STAFF001,Ahmad Staff,Staff,2026-07-10 09:13:00,2026-07-10 09:41:00,28 mins,0,0,NONE,LOW
66,STAFF001,Ahmad Staff,Staff,2026-07-10 13:02:00,2026-07-10 16:29:00,207 mins,0,0,NONE,LOW
67,UNKNOWN,Unknown Person,None,2026-07-10 14:35:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
68,MANAGER001,Siti Manager,Manager,2026-07-10 17:23:00,2026-07-10 17:56:00,33 mins,0,0,NONE,LOW
69,MANAGER001,Siti Manager,Manager,2026-07-10 19:08:00,2026-07-10 19:59:00,51 mins,0,0,NONE,LOW
70,CLEANER001,Ali Cleaner,Cleaner,2026-07-10 21:30:00,2026-07-10 23:06:00,96 mins,0,0,NONE,LOW
71,MANAGER001,Siti Manager,Manager,2026-07-11 02:43:00,2026-07-11 05:35:00,172 mins,0,0,NONE,LOW
72,MANAGER001,Siti Manager,Manager,2026-07-11 07:33:00,2026-07-11 09:31:00,118 mins,0,0,NONE,LOW
73,MANAGER001,Siti Manager,Manager,2026-07-11 10:15:00,2026-07-11 13:00:00,165 mins,0,0,NONE,LOW
74,CLEANER001,Ali Cleaner,Cleaner,2026-07-11 12:43:00,2026-07-11 15:22:00,159 mins,0,0,UNUSUAL_HOUR,MEDIUM
75,MANAGER001,Siti Manager,Manager,2026-07-11 13:45:00,2026-07-11 16:07:00,142 mins,0,0,NONE,LOW
76,STAFF001,Ahmad Staff,Staff,2026-07-11 18:19:00,2026-07-11 19:54:00,95 mins,0,0,UNUSUAL_HOUR,MEDIUM
77,CLEANER001,Ali Cleaner,Cleaner,2026-07-12 00:18:00,2026-07-12 01:44:00,86 mins,0,0,UNUSUAL_HOUR,MEDIUM
78,SYSTEM,Environmental_Sensor,Hardware,2026-07-12 03:03:00,NULL,NULL,0,1,GAS_LEAK_DETECTION,HIGH
79,MANAGER001,Siti Manager,Manager,2026-07-12 07:12:00,2026-07-12 08:49:00,97 mins,0,0,NONE,LOW
80,STAFF001,Ahmad Staff,Staff,2026-07-12 09:46:00,2026-07-12 13:27:00,221 mins,0,0,NONE,LOW
81,STAFF001,Ahmad Staff,Staff,2026-07-12 11:35:00,2026-07-12 12:08:00,33 mins,0,0,NONE,LOW
82,CLEANER001,Ali Cleaner,Cleaner,2026-07-12 15:56:00,2026-07-12 18:16:00,140 mins,0,0,UNUSUAL_HOUR,MEDIUM
83,UNKNOWN,Unknown Person,None,2026-07-12 18:43:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
84,MANAGER001,Siti Manager,Manager,2026-07-12 22:48:00,2026-07-13 02:48:00,240 mins,0,0,NONE,LOW
85,STAFF001,Ahmad Staff,Staff,2026-07-13 01:06:00,2026-07-13 04:58:00,232 mins,0,0,UNUSUAL_HOUR,MEDIUM
86,CLEANER001,Ali Cleaner,Cleaner,2026-07-13 03:53:00,2026-07-13 04:17:00,24 mins,0,0,UNUSUAL_HOUR,MEDIUM
87,MANAGER001,Siti Manager,Manager,2026-07-13 07:24:00,2026-07-13 09:40:00,136 mins,0,0,NONE,LOW
88,UNKNOWN,Unknown Person,None,2026-07-13 12:52:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
89,CLEANER001,Ali Cleaner,Cleaner,2026-07-13 18:46:00,2026-07-13 22:26:00,220 mins,0,0,NONE,LOW
90,CLEANER001,Ali Cleaner,Cleaner,2026-07-13 21:04:00,2026-07-14 01:01:00,237 mins,0,0,NONE,LOW
91,SYSTEM,Environmental_Sensor,Hardware,2026-07-13 22:15:00,NULL,NULL,1,1,GAS_LEAK_DETECTION,HIGH
92,STAFF001,Ahmad Staff,Staff,2026-07-13 23:53:00,2026-07-14 00:37:00,44 mins,0,0,UNUSUAL_HOUR,MEDIUM
93,STAFF001,Ahmad Staff,Staff,2026-07-14 02:27:00,2026-07-14 05:36:00,189 mins,0,0,UNUSUAL_HOUR,MEDIUM
94,CLEANER001,Ali Cleaner,Cleaner,2026-07-14 07:46:00,2026-07-14 09:05:00,79 mins,0,0,UNUSUAL_HOUR,MEDIUM
95,MANAGER001,Siti Manager,Manager,2026-07-14 13:04:00,2026-07-14 14:55:00,111 mins,0,0,NONE,LOW
96,CLEANER001,Ali Cleaner,Cleaner,2026-07-14 17:34:00,2026-07-14 19:39:00,125 mins,0,0,UNUSUAL_HOUR,MEDIUM
97,CLEANER001,Ali Cleaner,Cleaner,2026-07-14 19:49:00,2026-07-14 20:02:00,13 mins,0,0,NONE,LOW
98,MANAGER001,Siti Manager,Manager,2026-07-14 23:12:00,2026-07-15 01:01:00,109 mins,0,0,UNUSUAL_HOUR,MEDIUM
99,CLEANER001,Ali Cleaner,Cleaner,2026-07-15 02:07:00,2026-07-15 04:15:00,128 mins,0,0,UNUSUAL_HOUR,MEDIUM
100,CLEANER001,Ali Cleaner,Cleaner,2026-07-15 05:45:00,2026-07-15 06:26:00,41 mins,0,0,UNUSUAL_HOUR,MEDIUM
101,UNKNOWN,Unknown Person,None,2026-07-15 08:36:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
102,CLEANER001,Ali Cleaner,Cleaner,2026-07-15 13:37:00,2026-07-15 14:01:00,24 mins,0,0,UNUSUAL_HOUR,MEDIUM
103,CLEANER001,Ali Cleaner,Cleaner,2026-07-15 19:01:00,2026-07-15 19:52:00,51 mins,0,0,NONE,LOW
104,SYSTEM,Environmental_Sensor,Hardware,2026-07-15 23:14:00,NULL,NULL,1,1,GAS_LEAK_DETECTION,HIGH
105,STAFF001,Ahmad Staff,Staff,2026-07-16 02:32:00,2026-07-16 04:58:00,146 mins,0,0,UNUSUAL_HOUR,MEDIUM
106,CLEANER001,Ali Cleaner,Cleaner,2026-07-16 05:55:00,2026-07-16 08:06:00,131 mins,0,0,UNUSUAL_HOUR,MEDIUM
107,CLEANER001,Ali Cleaner,Cleaner,2026-07-16 11:39:00,2026-07-16 15:11:00,212 mins,0,0,UNUSUAL_HOUR,MEDIUM
108,CLEANER001,Ali Cleaner,Cleaner,2026-07-16 17:38:00,2026-07-16 19:14:00,96 mins,0,0,UNUSUAL_HOUR,MEDIUM
109,UNKNOWN,Unknown Person,None,2026-07-16 22:06:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
110,UNKNOWN,Unknown Person,None,2026-07-16 23:30:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
111,MANAGER001,Siti Manager,Manager,2026-07-17 04:49:00,2026-07-17 07:21:00,152 mins,0,0,NONE,LOW
112,STAFF001,Ahmad Staff,Staff,2026-07-17 10:08:00,2026-07-17 10:42:00,34 mins,0,0,NONE,LOW
113,UNKNOWN,Unknown Person,None,2026-07-17 15:13:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
114,STAFF001,Ahmad Staff,Staff,2026-07-17 18:44:00,2026-07-17 20:38:00,114 mins,0,0,UNUSUAL_HOUR,MEDIUM
115,UNKNOWN,Unknown Person,None,2026-07-17 23:08:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
116,CLEANER001,Ali Cleaner,Cleaner,2026-07-18 04:03:00,2026-07-18 07:45:00,222 mins,0,0,UNUSUAL_HOUR,MEDIUM
117,MANAGER001,Siti Manager,Manager,2026-07-18 08:40:00,2026-07-18 12:10:00,210 mins,0,0,NONE,LOW
118,CLEANER001,Ali Cleaner,Cleaner,2026-07-18 11:28:00,2026-07-18 13:22:00,114 mins,0,0,UNUSUAL_HOUR,MEDIUM
119,CLEANER001,Ali Cleaner,Cleaner,2026-07-18 13:52:00,2026-07-18 17:14:00,202 mins,0,0,UNUSUAL_HOUR,MEDIUM
120,MANAGER001,Siti Manager,Manager,2026-07-18 15:40:00,2026-07-18 18:38:00,178 mins,0,0,NONE,LOW
121,CLEANER001,Ali Cleaner,Cleaner,2026-07-18 18:59:00,2026-07-18 22:42:00,223 mins,0,0,NONE,LOW
122,UNKNOWN,Unknown Person,None,2026-07-18 22:55:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
123,STAFF001,Ahmad Staff,Staff,2026-07-19 01:47:00,2026-07-19 02:14:00,27 mins,0,0,UNUSUAL_HOUR,MEDIUM
124,MANAGER001,Siti Manager,Manager,2026-07-19 03:23:00,2026-07-19 06:07:00,164 mins,0,0,NONE,LOW
125,SYSTEM,Environmental_Sensor,Hardware,2026-07-19 07:29:00,NULL,NULL,1,1,GAS_LEAK_DETECTION,HIGH
126,MANAGER001,Siti Manager,Manager,2026-07-19 11:31:00,2026-07-19 13:24:00,113 mins,0,0,NONE,LOW
127,CLEANER001,Ali Cleaner,Cleaner,2026-07-19 16:36:00,2026-07-19 19:24:00,168 mins,0,0,UNUSUAL_HOUR,MEDIUM
128,MANAGER001,Siti Manager,Manager,2026-07-19 20:34:00,2026-07-19 23:10:00,156 mins,0,0,NONE,LOW
129,STAFF001,Ahmad Staff,Staff,2026-07-20 01:43:00,2026-07-20 02:01:00,18 mins,0,0,UNUSUAL_HOUR,MEDIUM
130,STAFF001,Ahmad Staff,Staff,2026-07-20 07:27:00,2026-07-20 10:10:00,163 mins,0,0,UNUSUAL_HOUR,MEDIUM
131,CLEANER001,Ali Cleaner,Cleaner,2026-07-20 10:33:00,2026-07-20 12:49:00,136 mins,0,0,UNUSUAL_HOUR,MEDIUM
132,CLEANER001,Ali Cleaner,Cleaner,2026-07-20 12:21:00,2026-07-20 16:13:00,232 mins,0,0,UNUSUAL_HOUR,MEDIUM
133,CLEANER001,Ali Cleaner,Cleaner,2026-07-20 13:30:00,2026-07-20 17:08:00,218 mins,0,0,UNUSUAL_HOUR,MEDIUM
134,UNKNOWN,Unknown Person,None,2026-07-20 15:50:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
135,CLEANER001,Ali Cleaner,Cleaner,2026-07-20 16:51:00,2026-07-20 18:18:00,87 mins,0,0,UNUSUAL_HOUR,MEDIUM
136,SYSTEM,Environmental_Sensor,Hardware,2026-07-20 20:34:00,NULL,NULL,1,1,GAS_LEAK_DETECTION,HIGH
137,CLEANER001,Ali Cleaner,Cleaner,2026-07-21 01:37:00,2026-07-21 03:52:00,135 mins,0,0,UNUSUAL_HOUR,MEDIUM
138,STAFF001,Ahmad Staff,Staff,2026-07-21 05:31:00,2026-07-21 06:08:00,37 mins,0,0,UNUSUAL_HOUR,MEDIUM
139,CLEANER001,Ali Cleaner,Cleaner,2026-07-21 09:21:00,2026-07-21 12:21:00,180 mins,0,0,UNUSUAL_HOUR,MEDIUM
140,MANAGER001,Siti Manager,Manager,2026-07-21 12:47:00,2026-07-21 15:10:00,143 mins,0,0,NONE,LOW
141,UNKNOWN,Unknown Person,None,2026-07-21 17:05:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
142,MANAGER001,Siti Manager,Manager,2026-07-21 19:36:00,2026-07-21 21:56:00,140 mins,0,0,NONE,LOW
143,MANAGER001,Siti Manager,Manager,2026-07-21 20:58:00,2026-07-21 21:09:00,11 mins,0,0,NONE,LOW
144,CLEANER001,Ali Cleaner,Cleaner,2026-07-22 00:28:00,2026-07-22 00:49:00,21 mins,0,0,UNUSUAL_HOUR,MEDIUM
145,UNKNOWN,Unknown Person,None,2026-07-22 01:55:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
146,CLEANER001,Ali Cleaner,Cleaner,2026-07-22 04:28:00,2026-07-22 08:18:00,230 mins,0,0,UNUSUAL_HOUR,MEDIUM
147,UNKNOWN,Unknown Person,None,2026-07-22 09:09:00,NULL,NULL,1,0,LOCKOUT_ALERT,HIGH
148,STAFF001,Ahmad Staff,Staff,2026-07-22 13:39:00,2026-07-22 16:03:00,144 mins,0,0,NONE,LOW
149,CLEANER001,Ali Cleaner,Cleaner,2026-07-22 17:11:00,2026-07-22 20:38:00,207 mins,0,0,UNUSUAL_HOUR,MEDIUM
150,MANAGER001,Siti Manager,Manager,2026-07-22 20:27:00,2026-07-22 22:03:00,96 mins,0,0,NONE,LOW
